REGION,Grupos de edad,2020,2021,2022,2023
Córdoba,45-64,363089,368502,373377,378047
Córdoba,65-69,53808,56567,59309,61897
Córdoba,70-74,41067,41837,42866,44317
Córdoba,75-79,29624,30996,32248,33314
Córdoba,80-84,18451,19249,20119,21065
Córdoba,65-84,142950,148649,154542,160593
Córdoba,85-89,10696,10997,11362,11773
Córdoba,90-94,5625,5714,5796,5926
Córdoba,95-99,2464,2501,2561,2593
Córdoba,85-99,18785,19212,19719,20292
Córdoba,100-120,972,970,961,967
Cundinamarca,Todas,3242999,3372221,3478323,3577177
Cundinamarca,01-04,244289,251996,256714,259624
Cundinamarca,05-09,243001,253020,261595,269832
Cundinamarca,10-14,246718,253374,259196,265197
Cundinamarca,05-14,489719,506394,520791,535029
Cundinamarca,15-19,262051,265016,266376,267959
Cundinamarca,20-24,275164,280880,282643,282781
Cundinamarca,25-29,270381,282310,290056,295506
Cundinamarca,30-34,255403,268197,279095,289515
Cundinamarca,35-39,245515,257423,267261,276547
Cundinamarca,40-44,218004,232015,244715,256463
Cundinamarca,15-44,1526518,1585841,1630146,1668771
Cundinamarca,45-49,194493,201571,209020,217821
Cundinamarca,50-54,185798,191346,195634,199444
Cundinamarca,55-59,167696,174852,180826,186051
Cundinamarca,60-64,137857,145789,153136,160209
Cundinamarca,45-64,685844,713558,738616,763525
Cundinamarca,65-69,105697,112397,118935,125550
Cundinamarca,70-74,76390,81263,86084,91035
Cundinamarca,75-79,50979,54275,57582,60994
Cundinamarca,80-84,31284,33035,34820,36765
Cundinamarca,65-84,264350,280970,297421,314344
Cundinamarca,85-89,17926,18689,19479,20329
Cundinamarca,90-94,9247,9506,9732,9980
Cundinamarca,95-99,3966,4092,4241,4343
Cundinamarca,85-99,31139,32287,33452,34652
Cundinamarca,100-120,1140,1175,1183,1232
Chocó,Todas,544764,549225,553519,557654
Chocó,01-04,59304,58399,57639,57039
Chocó,05-09,60802,60249,59619,58881
Chocó,10-14,59933,59797,59557,59247
Chocó,05-14,120735,120046,119176,118128
Chocó,15-19,55344,55842,56174,56351
Chocó,20-24,47767,48474,49171,49809
Chocó,25-29,43799,43592,43523,43664
Chocó,30-34,40445,40776,41022,41194
Chocó,35-39,33896,35066,36071,36816
Chocó,40-44,28574,28955,29467,30168
Chocó,15-44,249825,252705,255428,258002
Chocó,45-49,24612,25217,25820,26391
Chocó,50-54,21187,21676,22159,22593
Chocó,55-59,19523,19483,19488,19643
Chocó,60-64,16222,16978,17606,18064
Chocó,45-64,81544,83354,85073,86691
Chocó,65-69,11744,12312,12917,13562
Chocó,70-74,7588,8219,8834,9405
Chocó,75-79,5119,5226,5398,5666
Chocó,80-84,3760,3810,3888,3959
Chocó,65-84,28211,29567,31037,32592
Chocó,85-89,2519,2534,2544,2571
Chocó,90-94,1538,1520,1516,1521
Chocó,95-99,758,770,779,781
Chocó,85-99,4815,4824,4839,4873
Chocó,100-120,330,330,327,329
Huila,Todas,1122622,1131934,1140932,1149598
Huila,01-04,103750,102696,101634,100413
Huila,05-09,102300,102519,102693,102784
Huila,10-14,100170,100049,99971,99978
Huila,05-14,202470,202568,202664,202762
Huila,15-19,98527,98099,97686,97313
Huila,20-24,93602,93585,93396,93084
Huila,25-29,87713,88421,88893,89155
Huila,30-34,79633,80947,82303,83654
Huila,35-39,74628,75189,75777,76471
Huila,40-44,67622,69008,70296,71415
Huila,15-44,501725,505249,508351,511092
Huila,45-49,61310,61733,62417,63376
Huila,50-54,58806,59010,59088,59116
Huila,55-59,53987,54805,55469,56004
Huila,60-64,44578,46228,47783,49184
Huila,45-64,218681,221776,224757,227680
Huila,65-69,33923,35311,36754,38263
Huila,70-74,24699,25714,26790,27885
Huila,75-79,16629,17357,18117,18916
Huila,80-84,10276,10665,11087,11586
Huila,65-84,85527,89047,92748,96650
Huila,85-89,5861,5981,6129,6317
Huila,90-94,3006,3010,3033,3060
Huila,95-99,1301,1289,1304,1311
Huila,85-99,10168,10280,10466,10688
Huila,100-120,301,318,312,313
La Guajira,Todas,965718,987781,1002394,1015909
La Guajira,01-04,112396,112112,111347,110563
La Guajira,05-09,110819,111892,111957,111669
La Guajira,10-14,102350,104695,106345,107592
La Guajira,05-14,213169,216587,218302,219261
La Guajira,15-19,97911,97675,97226,97413
La Guajira,20-24,92761,94966,95653,95651
La Guajira,25-29,81208,84057,85815,87294
La Guajira,30-34,71069,73101,74521,76086
La Guajira,35-39,62157,64426,65962,67266
La Guajira,40-44,51582,53849,55698,57453
La Guajira,15-44,456688,468074,474875,481163
La Guajira,45-49,42418,43955,45370,46939
La Guajira,50-54,36216,37492,38524,39454
La Guajira,55-59,32060,32676,33165,33800
La Guajira,60-64,24551,26464,28079,29367
La Guajira,45-64,135245,140587,145138,149560
La Guajira,65-69,17646,18338,19164,20254
La Guajira,70-74,12443,13321,14109,14815
La Guajira,75-79,7896,8317,8777,9304
La Guajira,80-84,4861,5069,5286,5535
La Guajira,65-84,42846,45045,47336,49908
La Guajira,85-89,2792,2862,2937,3025
La Guajira,90-94,1488,1477,1475,1480
La Guajira,95-99,717,698,682,668
La Guajira,85-99,4997,5037,5094,5173
La Guajira,100-120,377,339,302,281
Magdalena,Todas,1427026,1449087,1463427,1476665
Magdalena,01-04,133671,133492,132522,131447
Magdalena,05-09,136750,136901,136326,135654
Magdalena,10-14,136881,137237,136969,136572
Magdalena,05-14,273631,274138,273295,272226
Magdalena,15-19,133145,133916,133976,133941
Magdalena,20-24,124309,126126,126720,126963
Magdalena,25-29,113956,116218,117353,118292
Magdalena,30-34,102812,105245,106982,108672
Magdalena,35-39,93883,95825,97147,98364
Magdalena,40-44,85367,87054,88390,89764
Magdalena,15-44,653472,664384,670568,675996
Magdalena,45-49,77070,78409,79592,80874
Magdalena,50-54,70602,71773,72584,73264
Magdalena,55-59,61935,63532,64850,66029
Magdalena,60-64,49890,52035,54039,55929
Magdalena,45-64,259497,265749,271065,276096
Magdalena,65-69,38984,40286,41643,43187
Magdalena,70-74,27678,29411,31009,32441
Magdalena,75-79,17667,18552,19526,20647
Magdalena,80-84,10848,11322,11823,12390
Magdalena,65-84,95177,99571,104001,108665
Magdalena,85-89,6222,6405,6607,6820
Magdalena,90-94,3247,3273,3315,3382
Magdalena,95-99,1467,1463,1489,1491
Magdalena,85-99,10936,11141,11411,11693
Magdalena,100-120,642,612,565,542
Meta,Todas,1063454,1072412,1080706,1088749
Meta,01-04,87810,86974,86127,85161
Meta,05-09,89600,89488,89350,89211
Meta,10-14,91117,90721,90338,90028
Meta,05-14,180717,180209,179688,179239
Meta,15-19,92512,91791,91068,90423
Meta,20-24,90818,90418,89804,89062
Meta,25-29,87715,87928,87906,87738
Meta,30-34,82202,83102,83994,84876
Meta,35-39,77642,78266,78777,79293
Meta,40-44,69870,71430,72852,74103
Meta,15-44,500759,502935,504401,505495
Meta,45-49,62078,62821,63786,64978
Meta,50-54,58192,58621,58917,59192
Meta,55-59,51641,52956,54049,54930
Meta,60-64,40663,42594,44465,46213
Meta,45-64,212574,216992,221217,225313
Meta,65-69,29853,31370,32968,34658
Meta,70-74,21148,22171,23255,24405
Meta,75-79,13963,14661,15381,16143
Meta,80-84,8404,8748,9151,9599
Meta,65-84,73368,76950,80755,84805
Meta,85-89,4662,4785,4935,5110
Meta,90-94,2336,2352,2373,2405
Meta,95-99,967,962,960,969
Meta,85-99,7965,8099,8268,8484
Meta,100-120,261,253,250,252
Nariño,Todas,1627589,1627386,1629181,1631117
Nariño,01-04,125196,123361,121563,119605
Nariño,05-09,124843,124439,124102,123745
Nariño,10-14,127544,125859,124605,123703
Nariño,05-14,252387,250298,248707,247448
Nariño,15-19,136053,132864,130065,127567
Nariño,20-24,139704,137437,135104,132562
Nariño,25-29,132911,133272,133386,132918
Nariño,30-34,122891,122486,122781,123621
Nariño,35-39,117823,117770,117682,117450
Nariño,40-44,107064,108433,109842,111016
Nariño,15-44,756446,752262,748860,745134
Nariño,45-49,96621,96931,97685,98864
Nariño,50-54,89676,90354,90909,91223
Nariño,55-59,78051,79613,81104,82403
Nariño,60-64,63785,65389,67144,68977
Nariño,45-64,328133,332287,336842,341467
Nariño,65-69,52035,52920,53971,55197
Nariño,70-74,41582,42431,43300,44160
Nariño,75-79,30020,31028,32029,32967
Nariño,80-84,19664,20240,20886,21587
Nariño,65-84,143301,146619,150186,153911
Nariño,85-89,12018,12237,12507,12832
Nariño,90-94,6564,6617,6689,6774
Nariño,95-99,2865,2960,3033,3080
Nariño,85-99,21447,21814,22229,22686
Nariño,100-120,679,745,794,866
Norte de Santander,Todas,1620318,1642746,1651278,1658835
Norte de Santander,01-04,138941,138613,136402,133673
Norte de Santander,05-09,136928,138581,138993,139305
