Córdoba,San José de Uré,13.345,13.584,13.814
Córdoba,San Pelayo,51.838,52.481,52.994
Córdoba,Tierralta,92.349,93.873,95.177
Córdoba,Tuchín,52.606,53.744,54.958
Córdoba,Valencia,35.694,36.042,36.343
Cundinamarca,Agua de Dios,11.685,11.966,12.325
Cundinamarca,Albán,6.438,6.650,6.879
Cundinamarca,Anapoima,14.519,15.315,16.064
Cundinamarca,Anolaima,13.816,14.161,14.577
Cundinamarca,Arbeláez,10.860,10.825,10.959
Cundinamarca,Beltrán,1.789,1.832,1.885
Cundinamarca,Bituima,2.467,2.507,2.568
Cundinamarca,Bojacá,9.913,10.524,11.092
Cundinamarca,Cabrera,4.722,4.885,5.062
Cundinamarca,Cachipay,9.972,10.324,10.703
Cundinamarca,Cajicá,82.244,87.866,92.967
Cundinamarca,Caparrapí,12.569,12.714,12.990
Cundinamarca,Cáqueza,17.099,17.480,17.956
Cundinamarca,Carmen de Carupa,7.580,7.733,7.940
Cundinamarca,Chaguaní,4.182,4.255,4.364
Cundinamarca,Chía,132.181,141.308,149.570
Cundinamarca,Chipaque,9.467,9.748,10.058
Cundinamarca,Choachí,10.961,11.213,11.528
Cundinamarca,Chocontá,20.568,21.425,22.278
Cundinamarca,Cogua,22.067,23.286,24.434
Cundinamarca,Cota,32.691,34.948,36.992
Cundinamarca,Cucunubá,7.626,7.935,8.257
Cundinamarca,El Colegio,23.886,25.047,26.176
Cundinamarca,El Peñón,4.681,4.710,4.789
Cundinamarca,El Rosal,22.065,23.417,24.768
Cundinamarca,Facatativá,139.441,148.001,155.978
Cundinamarca,Fómeque,11.986,12.367,12.803
Cundinamarca,Fosca,5.784,5.892,6.038
Cundinamarca,Funza,93.154,99.387,105.086
Cundinamarca,Fúquene,4.904,5.047,5.211
Cundinamarca,Fusagasugá,138.498,146.556,154.143
Cundinamarca,Gachalá,4.436,4.386,4.405
Cundinamarca,Gachancipá,17.026,18.264,19.376
Cundinamarca,Gachetá,8.425,8.439,8.539
Cundinamarca,Gama,3.120,3.152,3.214
Cundinamarca,Girardot,101.018,105.379,109.792
Cundinamarca,Granada,7.179,7.566,7.931
Cundinamarca,Guachetá,13.285,13.749,14.241
Cundinamarca,Guaduas,30.524,31.869,33.212
Cundinamarca,Guasca,15.348,16.166,16.934
Cundinamarca,Guataquí,2.848,2.811,2.772
Cundinamarca,Guatavita,6.325,6.561,6.811
Cundinamarca,Guayabal de Síquima,4.444,4.587,4.743
Cundinamarca,Guayabetal,6.232,6.485,6.744
Cundinamarca,Gutiérrez,3.410,3.478,3.567
Cundinamarca,Jerusalén,2.281,2.283,2.315
Cundinamarca,Junín,5.823,5.920,6.074
Cundinamarca,La Calera,29.868,31.432,32.917
Cundinamarca,La Mesa,32.694,34.465,36.129
Cundinamarca,La Palma,9.467,9.588,9.810
Cundinamarca,La Peña,5.911,5.976,6.095
Cundinamarca,La Vega,16.986,17.830,18.642
Cundinamarca,Lenguazaque,10.080,10.424,10.794
Cundinamarca,Machetá,6.124,6.171,6.278
Cundinamarca,Madrid,112.254,120.067,127.138
Cundinamarca,Manta,3.737,3.795,3.893
Cundinamarca,Medina,8.014,8.064,8.211
Cundinamarca,Mosquera,130.221,141.171,150.665
Cundinamarca,Nariño,2.333,2.395,2.464
Cundinamarca,Nemocón,13.171,13.868,14.532
Cundinamarca,Nilo,10.819,11.441,12.028
Cundinamarca,Nimaima,3.589,3.665,3.763
Cundinamarca,Nocaima,6.092,6.317,6.562
Cundinamarca,Venecia,4.218,4.320,4.449
Cundinamarca,Pacho,24.413,25.046,25.803
Cundinamarca,Paime,4.186,4.206,4.279
Cundinamarca,Pandi,4.973,5.146,5.334
Cundinamarca,Paratebueno,8.328,8.786,9.218
Cundinamarca,Pasca,9.105,9.341,9.626
Cundinamarca,Puerto Salgar,15.453,16.058,16.671
Cundinamarca,Pulí,3.327,3.369,3.438
Cundinamarca,Quebradanegra,4.724,4.807,4.927
Cundinamarca,Quetame,5.072,5.176,5.315
Cundinamarca,Quipile,6.291,6.380,6.536
Cundinamarca,Apulo,8.192,8.457,8.747
Cundinamarca,Ricaurte,12.881,13.652,14.367
Cundinamarca,San Antonio del Tequendama,11.870,12.340,12.829
Cundinamarca,San Bernardo,8.487,8.703,8.984
Cundinamarca,San Cayetano,4.846,4.892,4.978
Cundinamarca,San Francisco,10.755,11.316,11.844
Cundinamarca,San Juan de Rioseco,8.181,8.324,8.537
Cundinamarca,Sasaima,10.711,11.104,11.521
Cundinamarca,Sesquilé,11.423,12.052,12.645
Cundinamarca,Sibaté,33.491,35.102,36.658
Cundinamarca,Silvania,21.625,22.550,23.489
Cundinamarca,Simijaca,12.847,13.465,14.062
Cundinamarca,Soacha,660.179,709.276,753.548
Cundinamarca,Sopó,25.782,27.456,28.999
Cundinamarca,Subachoque,15.690,16.183,16.743
Cundinamarca,Suesca,17.021,17.902,18.741
Cundinamarca,Supatá,5.203,5.361,5.543
Cundinamarca,Susa,6.454,6.769,7.067
Cundinamarca,Sutatausa,5.887,6.169,6.441
Cundinamarca,Tabio,21.665,22.983,24.206
Cundinamarca,Tausa,8.067,8.354,8.654
Cundinamarca,Tena,9.567,10.065,10.531
